ticker,open,close,high,low,volume,time,time_milliseconds
TSLA,329.62,335.16,336.27,329.59,56956552,2025-08-18T04:00:00Z,1755489600000
TSLA,335.79,329.31,340.55,327.85,75956002,2025-08-19T04:00:00Z,1755576000000
TSLA,329.22,323.9,331.37,314.6,77481768,2025-08-20T04:00:00Z,1755662400000
TSLA,322.08,320.11,324.9,318.68,55744445,2025-08-21T04:00:00Z,1755748800000
TSLA,321.66,340.01,340.25,319.69,94016347,2025-08-22T04:00:00Z,1755835200000
TSLA,338.9,346.6,349.53,335.03,86670037,2025-08-25T04:00:00Z,1756094400000
TSLA,344.93,351.67,351.9,343.72,76651550,2025-08-26T04:00:00Z,1756180800000
TSLA,351.94,349.6,355.39,349.16,65519012,2025-08-27T04:00:00Z,1756267200000
TSLA,350.91,345.98,353.55,340.26,67903224,2025-08-28T04:00:00Z,1756353600000
TSLA,347.23,333.87,348.75,331.7,81145660,2025-08-29T04:00:00Z,1756440000000
TSLA,328.23,329.36,333.33,325.6,58391952,2025-09-02T04:00:00Z,1756785600000
TSLA,335.2,334.09,343.33,328.51,88733288,2025-09-03T04:00:00Z,1756872000000
TSLA,336.15,338.53,338.89,331.48,60711033,2025-09-04T04:00:00Z,1756958400000
TSLA,348.0,350.84,355.87,344.68,108989785,2025-09-05T04:00:00Z,1757044800000
TSLA,354.64,346.4,358.44,344.84,75208290,2025-09-08T04:00:00Z,1757304000000
TSLA,348.44,346.97,350.77,343.82,53815991,2025-09-09T04:00:00Z,1757390400000
TSLA,350.55,347.79,356.33,346.07,72121679,2025-09-10T04:00:00Z,1757476800000
TSLA,350.17,368.81,368.99,347.6,103756010,2025-09-11T04:00:00Z,1757563200000
TSLA,370.94,395.94,396.69,370.24,168156391,2025-09-12T04:00:00Z,1757649600000
